Dataset,Reason
GSE87303-GPL570,Supp is not available
GSE34799-GPL11533,Subscript out of bounds
GSE23888-GPL1261,Sample size is not consistent: 1 - 2
GSE10453-GPL570,Sample size is not consistent: 1 - 0
GSE7776-GPL339,Sample size is not consistent: 1 - 0
GSE7776-GPL340,Sample size is not consistent: 1 - 0
GSE7775-GPL339,Sample size is not consistent: 1 - 0
GSE7775-GPL340,Sample size is not consistent: 1 - 0
GSE928-GPL91,Supp is not available
GSE296147-GPL1261,Supp is not available
GSE106310-GPL6246,CEL file is corrupted
GSE119205-GPL6246,RAW is not available
GSE92320-GPL16686,Sample size is not consistent: 2 - 0
GSE92320-GPL19251,Sample size is not consistent: 2 - 0
GSE92303-GPL1261,Supp is not available
GSE84484-GPL17586,Sample size is not consistent: 2 - 0
GSE84484-GPL17585,Sample size is not consistent: 2 - 0
GSE75252-GPL6246,Sample size is not consistent: 2 - 6
GSE68555-GPL91,Large RAW file
GSE35723-GPL339,CEL file is corrupted
GSE17889-GPL570,Sample size is not consistent: 2 - 6
GSE20064-GPL1261,Subscript out of bounds
GSE33472-GPL1261,Supp is not available
GSE13247-GPL8321,Large RAW file
GSE9312-GPL81,Sample size is not consistent: 2 - 1
GSE5676-GPL1261,Supp is not available
GSE9099-GPL339,Sample size is not consistent: 2 - 0
GSE10519-GPL1261,Supp is not available
GSE6565-GPL97,CEL file is corrupted
GSE4550-GPL96,Supp is not available
GSE3996-GPL96,Supp is not available
GSE6081-GPL1261,Supp is not available
GSE4742-GPL81,Supp is not available
GSE5317-GPL1261,Supp is not available
GSE5229-GPL571,Supp is not available
GSE4627-GPL339,Supp is not available
GSE4243-GPL571,Supp is not available
GSE3229-GPL570,Supp is not available
GSE4869-GPL96,Supp is not available
GSE4100-GPL570,Supp is not available
GSE4462-GPL1261,Supp is not available
GSE3599-GPL339,Supp is not available
GSE3651-GPL81,Supp is not available
GSE3651-GPL82,Supp is not available
GSE3651-GPL83,Supp is not available
GSE3652-GPL81,Supp is not available
GSE3652-GPL82,Supp is not available
GSE3652-GPL83,Supp is not available
GSE4513-GPL32,Supp is not available
GSE2261-GPL339,Supp is not available
GSE4050-GPL1261,Supp is not available
GSE4039-GPL570,Supp is not available
GSE3993-GPL32,Supp is not available
GSE3801-GPL1352,Supp is not available
GSE3555-GPL8300,Supp is not available
GSE3378-GPL97,Supp is not available
GSE3378-GPL96,Supp is not available
GSE2448-GPL96,Supp is not available
GSE2955-GPL339,Supp is not available
GSE2387-GPL571,Supp is not available
GSE3166-GPL96,Supp is not available
GSE2298-GPL570,Supp is not available
GSE2672-GPL570,Supp is not available
GSE2747-GPL339,Supp is not available
GSE1716-GPL96,Supp is not available
GSE1899-GPL81,Supp is not available
GSE2478-GPL570,Supp is not available
GSE2205-GPL81,Supp is not available
GSE2049-GPL91,Supp is not available
GSE2249-GPL339,Supp is not available
GSE1955-GPL96,Supp is not available
GSE693-GPL81,Supp is not available
GSE997-GPL96,Supp is not available
GSE1708-GPL339,Supp is not available
GSE1375-GPL81,Supp is not available
GSE1399-GPL81,Supp is not available
GSE1399-GPL82,Supp is not available
GSE1399-GPL83,Supp is not available
GSE1410-GPL96,Sample size is not consistent: 2 - 1
GSE1277-GPL8300,Supp is not available
